"codcompra","mododisputa","disputaaberto","aditivos","vigencia_inicio","vigencia_fim","anos","valor_inicial","valor_global","diferenca_valor","percentual_diferenca_valor"
"15316399000032018","Fechado","False","5","2020-01-07","2024-03-27","4.0","2207352.0","2945890.9","738538.9","33.458138982817424"
"15404799000042018","Aberto","True","8","2018-11-06","2021-07-22","3.0","2996746.08","4044770.7","1048024.62","34.972086123492986"
"15404999000012018","Aberto","True","12","2018-11-23","2022-02-26","4.0","1908000.42","0.0","-1908000.42","-100.0"
"15405499000112018","Fechado","False","2","2018-11-14","2021-10-18","3.0","4307510.94","4553770.06","246259.12","5.716970274253093"
"15405499000152018","Fechado","False","2","2018-12-07","2022-01-06","4.0","5789815.55","5789815.55","0.0","0.0"
"15442199000042018","Fechado/Aberto","True","10","2018-11-12","2022-05-28","4.0","229930.92","229930.92","0.0","0.0"
"15442199000062018","Fechado/Aberto","True","10","2018-12-03","2021-11-02","3.0","142272.9","142272.9","0.0","0.0"
"15450399000012018","Aberto","True","12","2019-01-28","2022-04-28","3.0","198700.0","198700.0","0.0","0.0"
"15813699000012018","Aberto","True","7","2018-10-01","2023-12-27","5.0","13588026.75","13588026.75","0.0","0.0"
"15813699000022018","Aberto","True","7","2018-08-09","2022-10-17","4.0","12594879.92","12594879.92","0.0","0.0"
"15815499000022018","Aberto","True","4","2019-10-01","2021-11-04","2.0","195000.0","213262.25","18262.25","9.36525641025641"
"15815499000052018","Aberto","True","4","2018-12-07","2022-06-10","4.0","11580000.0","12336836.95","756836.95","6.535724956822107"
"15828499000012018","Fechado","False","2","2019-01-02","2022-09-19","3.0","1797035.85","1797035.85","0.0","0.0"
"15847799000012018","Aberto","True","9","2019-01-02","2021-01-26","2.0","3826801.43","398441.54","-3428359.89","-89.588131307874"
"15851699000032018","Fechado/Aberto","True","1","2020-02-27","2022-09-20","2.0","1238569.6","1238569.6","0.0","0.0"
"15851799000032018","Aberto","True","5","2020-01-03","2022-07-20","2.0","1632800.84","1707775.61","74974.77","4.5917890390110285"
"15851799000032018","Aberto","True","5","2020-07-28","2022-07-27","2.0","1937924.4","2075244.33","137319.93","7.085928119796624"
